Id_exclusiva;Id;EDT;Nível_da_estrutura_de_tópicos;Nome;Dashboard;Porcentagem_Prev_LB;Porcentagem_Prev_Real
154;80;1.2.7.4;4;Realizar Bloqueio Elétrico AH47 (Secagem Ascendente para PP AR40);S;100;100
265;81;1.2.7.5;4;Realizar Bloqueio Elétrico AH30 (Resfriamento);S;100;100
312;82;1.2.7.6;4;Realizar Bloqueio Elétrico AH93 e AH94 (Atomizadores);S;100;100
7768;83;1.2.8;3;Ventiladores Bloqueados;N;100;100
477;84;1.2.9;3;Precipitadores;;100;100
501;85;1.2.9.1;4;AR80;S;100;100
833;86;1.2.9.1.1;5;Batimento de Todos os Campos e Descarregar as Tremonhas do AR80;;100;100
379;87;1.2.9.1.2;5;Bloqueio Elétrico e Aterramento do Precipitador AR80;;100;100
785;88;1.2.9.1.3;5;Resfriamento Natural do AR80;;100;100
830;89;1.2.9.2;4;Manter Batimento de Todos os Campos e para Descarregar as Tremonhas dos Precipitadores AR1 e AR40 até Bloqueio;N;100;100
500;90;1.2.9.3;4;AR1;S;100;100
372;91;1.2.9.3.1;5;Bloqueio Elétrico e Aterramento do Precipitador AR1;;100;100
858;92;1.2.9.3.2;5;Resfriamento Natural do AR1 (Realizado Junto com Forno);;100;100
499;93;1.2.9.4;4;AR40;S;100;100
551;94;1.2.9.4.1;5;Bloqueio Elétrico e Aterramento do Precipitador AR40;;100;100
550;95;1.2.9.4.2;5;Resfriamento Natural do AR40 (Realizado Junto com Forno);;100;100
13131;96;1.2.9.4.3;5;Realizar Limpeza das Tremonhas Conforme Necessidade;;100;100
487;97;1.2.10;3;Peneiramento;;100;100
13101;98;1.2.10.1;4;Esvaziar Silo AH222 (Perna da Emergência via AH103 e Produção Via Comporta AH11);N;100;100
421;99;1.2.10.2;4;Manter Circuito de Emergência Rodando para Limpeza das Caixas de Vento;N;100;100
7844;100;1.2.10.3;4;"Realizar Limpeza através do Circuito da Emergência (AH17; AH19; AH20; AH103; AH104; AH105)";S;100;100
7762;101;1.2.10.4;4;"Esvaziar Circuito de Limpeza do Forno e da Emergência (AH17; AH19; AH20; AH103; AH104; AH105)";N;100;100
7764;102;1.2.10.5;4;"Bloquear Circuito de Limpeza do Forno e da Emergência (AH17; AH19; AH20; AH103; AH104; AH105)";S;100;100
13023;103;1.2.10.6;4;"Esvaziar Circuito de Finos (BH128; BH129; BH130)";N;100;100
11987;104;1.2.10.7;4;"Realizar Bloqueio Elétrico do Circuito de Finos de PQ (BH128; BH129; BH130)";S;100;100
7761;105;1.2.10.8;4;Esvaziar Chute da Peneira AH13PV para 2P0TC;N;100;100
13022;106;1.2.10.9;4;Esvaziar Peneira AH13PV;S;100;100
419;107;1.2.10.10;4;Realizar Bloqueio Elétrico da Peneira AH13PV;S;100;100
486;108;1.2.11;3;Pátio de Briquete;;100;100
438;109;1.2.11.1;4;Esvaziar Correias do Circuito, Realizar Limpezas dos Chutes do Circuito e Posicionar Correias para Manutenção (2P0TC até Pátio do Briquete);S;100;100
437;110;1.2.11.2;4;Realizar Bloqueio Elétrico do Pátio do Briquete;S;100;100
854;111;1.2.11.3;4;Limpar Máquina EP 2P2A;N;100;100
476;112;1.3;2;Manutenção;;100;99,09
607;113;1.3.1;3;Pátio de Alimentação;;100;98,84
14155;114;1.3.1.1;4;IE - Pátio de Alimentação;S;100;97,68
13723;115;1.3.1.1.1;5;IE - Substituir Rotulas da 1PA13;;99,99;99,99
13724;116;1.3.1.1.1.1;6;BLOQUEIO;;100;100
13725;117;1.3.1.1.1.2;6;DISTENSIONAMENTO DE CONTRA-PESO;;100;100
13726;118;1.3.1.1.1.3;6;POSICIONAMENTO DE LUMINARIAS;;100;100
13727;119;1.3.1.1.1.4;6;DESMONTAGEM DE RAC07;;100;100
13728;120;1.3.1.1.1.5;6;RECUPERAÇÃO METÁLICA;;100;100
13729;121;1.3.1.1.1.6;6;MONTAGEM DE RAC 07;;100;100
13730;122;1.3.1.1.1.7;6;TENSIONAMENTO DE CONTRA-PESO;;100;100
13731;123;1.3.1.1.1.8;6;RETIRADA DE BLOQUEIO;;100;100
13733;124;1.3.1.1.2;5;IE - Recuperação Estrutural Treliça 1PA12;;100;100
13734;125;1.3.1.1.2.1;6;BLOQUEIO;;100;100
13735;126;1.3.1.1.2.2;6;LIMPEZA;;100;100
13736;127;1.3.1.1.2.3;6;DISTENSIONAMENTO DE CONTRA-PESO;;100;100
13737;128;1.3.1.1.2.4;6;MONTAGEM DE ANDAIME;;100;100
13738;129;1.3.1.1.2.5;6;POSICIONAMENTO DE LUMINARIAS;;100;100
13739;130;1.3.1.1.2.6;6;DESMONTAGEM DE RAC07;;100;100
13740;131;1.3.1.1.2.7;6;RECUPERAÇÃO METÁLICA;;100;100
13741;132;1.3.1.1.2.8;6;MONTAGEM DE RAC 07;;100;100
13742;133;1.3.1.1.2.9;6;DESMONTAGEM DE ANDAIME;;100;100
13743;134;1.3.1.1.2.10;6;TENSIONAMENTO DE CONTRA-PESO;;100;100
13744;135;1.3.1.1.2.11;6;RETIRADA DE BLOQUEIO;;100;100
13746;136;1.3.1.1.3;5;IE - Substituir Estrutura Chute Emerg 1PA5;;99,99;99,99
13747;137;1.3.1.1.3.1;6;BLOQUEIO;;100;100
13748;138;1.3.1.1.3.2;6;LIMPEZA;;100;100
13749;139;1.3.1.1.3.3;6;DISTENSIONAMENTO DE CONTRA-PESO;;100;100
13750;140;1.3.1.1.3.4;6;MONTAGEM DE ANDAIME;;100;100
13751;141;1.3.1.1.3.5;6;POSICIONAMENTO DE LUMINARIAS;;100;100
13752;142;1.3.1.1.3.6;6;DESMONTAGEM DE RAC07;;100;100
13753;143;1.3.1.1.3.7;6;GUINDASTE;;100;100
13754;144;1.3.1.1.3.8;6;RECUPERAÇÃO METÁLICA;;100;100
13755;145;1.3.1.1.3.9;6;MONTAGEM DE RAC 07;;100;100
13756;146;1.3.1.1.3.10;6;DESMONTAGEM DE ANDAIME;;100;100
13757;147;1.3.1.1.3.11;6;TENSIONAMENTO DE CONTRA-PESO;;100;100
13758;148;1.3.1.1.3.12;6;RETIRADA DE BLOQUEIO;;100;100
13761;149;1.3.1.1.4;5;IE - Rec Estrutural - Coluna 446A/ Substi. Apoio 448G / 448G - 1PR2TC;;100;97,2
13762;150;1.3.1.1.4.1;6;BLOQUEIO;;100;100
13763;151;1.3.1.1.4.2;6;MONTAGEM DE ANDAIME;;100;100
13764;152;1.3.1.1.4.3;6;POSICIONAMENTO DE LUMINARIAS;;100;100
13765;153;1.3.1.1.4.4;6;DESMONTAGEM DE RAC07;;100;100
13766;154;1.3.1.1.4.5;6;RECUPERAÇÃO METÁLICA;;100;100
13767;155;1.3.1.1.4.6;6;MONTAGEM DE RAC 07;;100;100
13768;156;1.3.1.1.4.7;6;DESMONTAGEM DE ANDAIME;;100;0
13769;157;1.3.1.1.4.8;6;RETIRADA DE BLOQUEIO;;100;0
13771;158;1.3.1.1.5;5;IE - Recuperação Estrutural 1PR1TC;;100;100
13772;159;1.3.1.1.5.1;6;BLOQUEIO;;100;100
13773;160;1.3.1.1.5.2;6;POSICIONAMENTO DE LUMINARIAS;;100;100
13774;161;1.3.1.1.5.3;6;DESMONTAGEM DE RAC07;;100;100
13775;162;1.3.1.1.5.4;6;RECUPERAÇÃO METÁLICA;;100;100
13776;163;1.3.1.1.5.5;6;MONTAGEM DE RAC 07;;100;100
13777;164;1.3.1.1.5.6;6;RETIRADA DE BLOQUEIO;;100;100
13780;165;1.3.1.1.6;5;IE - Substituir Vigas EL 5.700-Prédio 1PR4;;100;100
13781;166;1.3.1.1.6.1;6;BLOQUEIO;;100;100
13782;167;1.3.1.1.6.2;6;DISTENSIONAMENTO DE CONTRAPESO;;100;100
13783;168;1.3.1.1.6.3;6;MONTAGEM DE ANDAIME;;100;100
13784;169;1.3.1.1.6.4;6;POSICIONAMENTO DE LUMINARIAS;;100;100
13785;170;1.3.1.1.6.5;6;DESMONTAGEM DE RAC07;;100;100
13786;171;1.3.1.1.6.6;6;GUINDASTE;;100;100
13787;172;1.3.1.1.6.7;6;RECUPERAÇÃO METÁLICA;;100;100
13788;173;1.3.1.1.6.8;6;MONTAGEM DE RAC 07;;100;100
13789;174;1.3.1.1.6.9;6;DESMONTAGEM DE ANDAIME;;100;100
13790;175;1.3.1.1.6.10;6;TENSIONAMENTO DE CONTRAPESO;;100;100
13791;176;1.3.1.1.6.11;6;RETIRADA DE BLOQUEIO;;100;100
13794;177;1.3.1.1.7;5;IE - Tratamento Anticorrosivo 1PR2TC;;100;83,2
13795;178;1.3.1.1.7.1;6;BLOQUEIO;;100;100
13796;179;1.3.1.1.7.2;6;MOBILIZAÇÃO;;100;100
13797;180;1.3.1.1.7.3;6;DESMONTAGEM DE RAC07;;100;100
13798;181;1.3.1.1.7.4;6;LIMPEZA;;100;100
13799;182;1.3.1.1.7.5;6;ISOLAMENTO DE BANDEJAMENTOS ELÉTRICOS, SENSORES E ACESSÓRIOS ELETRONICOS;;100;100
13800;183;1.3.1.1.7.6;6;MONTAGEM DE ANDAIME;;100;100
13801;184;1.3.1.1.7.7;6;TRATAMENTO ANTICORROSIVO;;100;96
13802;185;1.3.1.1.7.8;6;MONTAGEM DE RAC 07;;100;0
13803;186;1.3.1.1.7.9;6;DESMONTAGEM DE ANDAIME;;100;0
13804;187;1.3.1.1.7.10;6;RETIRADA DE BLOQUEIO;;100;0
13806;188;1.3.1.1.8;5;IE - Tratamento Anticorrosivo 1PR9TC;;100;100
13807;189;1.3.1.1.8.1;6;BLOQUEIO;;100;100
13808;190;1.3.1.1.8.2;6;MOBILIZAÇÃO;;100;100
13809;191;1.3.1.1.8.3;6;DESMONTAGEM DE RAC07;;100;100
13810;192;1.3.1.1.8.4;6;LIMPEZA;;100;100
13811;193;1.3.1.1.8.5;6;ISOLAMENTO DE BANDEJAMENTOS ELÉTRICOS, SENSORES E ACESSÓRIOS ELETRONICOS;;100;100
13812;194;1.3.1.1.8.6;6;MONTAGEM DE ANDAIME;;100;100
13813;195;1.3.1.1.8.7;6;TRATAMENTO ANTICORROSIVO;;100;100
13814;196;1.3.1.1.8.8;6;MONTAGEM DE RAC 07;;100;100
13815;197;1.3.1.1.8.9;6;DESMONTAGEM DE ANDAIME;;100;100
13816;198;1.3.1.1.8.10;6;RETIRADA DE BLOQUEIO;;100;100
13819;199;1.3.1.1.9;5;IE - Tratamento Anticorrosivo Prédio 1PR4;;100;100
13820;200;1.3.1.1.9.1;6;MOBILIZAÇÃO;;100;100
13821;201;1.3.1.1.9.2;6;LIMPEZA;;100;100
13822;202;1.3.1.1.9.3;6;ISOLAMENTO DE BANDEJAMENTOS ELÉTRICOS, SENSORES E ACESSÓRIOS ELETRONICOS;;100;100
13823;203;1.3.1.1.9.4;6;TRATAMENTO ANTICORROSIVO;;100;100
13824;204;1.3.1.1.9.5;6;RETIRADA DE BLOQUEIO;;100;100
13827;205;1.3.1.1.10;5;IE - Subst. Terças, Tap Lat, Venezianas - 1PR4;;100;100
13828;206;1.3.1.1.10.1;6;BLOQUEIO;;100;100
13829;207;1.3.1.1.10.2;6;MOBILIZAÇÃO;;100;100
13830;208;1.3.1.1.10.3;6;DESMONTAGEM DE TELHA DO TAPAMENTO LATERAL;;100;100
13831;209;1.3.1.1.10.4;6;EXECUÇÃO DE RECUPERAÇÃO ESTRUTURAL;;100;100
13832;210;1.3.1.1.10.5;6;MONTAGEM DE TELHA DO TAPAMENTO LATERAL;;100;100
13833;211;1.3.1.1.10.6;6;RETIRADA DE BLOQUEIO;;100;100
14154;212;1.3.1.2;4;Manutenção PQ - Pátio de Alimentação;S;100;100
608;213;1.3.1.3;4;Pátio de Finos Disponível para Manutenção;N;100;100
609;214;1.3.2;3;Manutenção do Pátio de Alimentação Concluída;;100;0
614;215;1.3.3;3;Secagem;;100;100
14186;216;1.3.3.1;4;Projeto Briquetagem - Secagem;S;100;100
13967;217;1.3.3.1.1;5;BT1 - Substituição das 4 Válvulas Duplo Pêndulo;;100;100
13968;218;1.3.3.1.1.1;6;Desmontagem das 4 Válvulas Duplo Pêndulo;;99,99;99,99
13969;219;1.3.3.1.1.1.1;7;VÁLVULA 1;;99,99;99,99
13970;220;1.3.3.1.1.1.1.1;8;Abertura da caixa de proteção da válvula ;;100;100
13971;221;1.3.3.1.1.1.1.2;8;Desmontagem do braço de torque;;100;100
13972;222;1.3.3.1.1.1.1.3;8;Desmontagem do flange superior;;100;100
13973;223;1.3.3.1.1.1.1.4;8;Soldagem dos olhais para a movimentação das peças ;;100;100
13974;224;1.3.3.1.1.1.1.5;8;LP nos olhais;;100;100
13975;225;1.3.3.1.1.1.1.6;8;Desmontagem do eixo da válvula;;100;100
13976;226;1.3.3.1.1.1.1.7;8;Desmontagem do flange inferior;;100;100
13977;227;1.3.3.1.1.1.1.8;8;Desmontagem da infraestrutura;;100;100
13978;228;1.3.3.1.1.1.1.9;8;Desmontagem do acionamento;;100;100
13979;229;1.3.3.1.1.1.1.10;8;Retirada das guilhotinas;;100;100
13980;230;1.3.3.1.1.1.1.11;8;Sucateamento da válvula para o caminho de rolamento;;100;100
13981;231;1.3.3.1.1.1.1.12;8;Remoção das sucatas com auxílio da gaiola para içamento com o apoio do guindaste;;100;100
13982;232;1.3.3.1.1.1.1.13;8;Limpeza mecânica;;100;100
13983;233;1.3.3.1.1.1.2;7;VÁLVULA 2;;99,99;99,99
13984;234;1.3.3.1.1.1.2.1;8;Abertura da caixa de proteção da válvula ;;100;100
13985;235;1.3.3.1.1.1.2.2;8;Desmontagem do braço de torque;;100;100
13986;236;1.3.3.1.1.1.2.3;8;Desmontagem do flange superior;;100;100
13987;237;1.3.3.1.1.1.2.4;8;Soldagem dos olhais para a movimentação das peças ;;100;100
13988;238;1.3.3.1.1.1.2.5;8;LP nos olhais;;100;100
13989;239;1.3.3.1.1.1.2.6;8;Desmontagem do eixo da válvula;;100;100
13990;240;1.3.3.1.1.1.2.7;8;Desmontagem do flange inferior;;100;100
13991;241;1.3.3.1.1.1.2.8;8;Desmontagem da infraestrutura;;100;100
13992;242;1.3.3.1.1.1.2.9;8;Desmontagem do acionamento;;100;100
13993;243;1.3.3.1.1.1.2.10;8;Retirada das guilhotinas;;100;100
13994;244;1.3.3.1.1.1.2.11;8;Sucateamento da válvula para o caminho de rolamento;;100;100
13995;245;1.3.3.1.1.1.2.12;8;Remoção das sucatas com auxílio da gaiola para içamento com o apoio do guindaste;;100;100
13996;246;1.3.3.1.1.1.2.13;8;Limpeza mecânica;;100;100
13997;247;1.3.3.1.1.1.3;7;VÁLVULA 3;;99,99;99,99
13998;248;1.3.3.1.1.1.3.1;8;Abertura da caixa de proteção da válvula ;;100;100
13999;249;1.3.3.1.1.1.3.2;8;Desmontagem do braço de torque;;100;100
14000;250;1.3.3.1.1.1.3.3;8;Desmontagem do flange superior;;100;100
14001;251;1.3.3.1.1.1.3.4;8;Soldagem dos olhais para a movimentação das peças ;;100;100
14002;252;1.3.3.1.1.1.3.5;8;LP nos olhais;;100;100
14003;253;1.3.3.1.1.1.3.6;8;Desmontagem do eixo da válvula;;100;100
14004;254;1.3.3.1.1.1.3.7;8;Desmontagem do flange inferior;;100;100
14005;255;1.3.3.1.1.1.3.8;8;Desmontagem da infraestrutura;;100;100
14006;256;1.3.3.1.1.1.3.9;8;Desmontagem do acionamento;;100;100
14007;257;1.3.3.1.1.1.3.10;8;Retirada das guilhotinas;;100;100
14008;258;1.3.3.1.1.1.3.11;8;Sucateamento da válvula para o caminho de rolamento;;100;100
14009;259;1.3.3.1.1.1.3.12;8;Remoção das sucatas com auxílio da gaiola para içamento com o apoio do guindaste;;100;100
14010;260;1.3.3.1.1.1.3.13;8;Limpeza mecânica;;100;100
14011;261;1.3.3.1.1.1.4;7;VÁLVULA 4;;99,99;99,99
14012;262;1.3.3.1.1.1.4.1;8;Abertura da caixa de proteção da válvula ;;100;100
14013;263;1.3.3.1.1.1.4.2;8;Desmontagem do braço de torque;;100;100
14014;264;1.3.3.1.1.1.4.3;8;Desmontagem do flange superior;;100;100
14015;265;1.3.3.1.1.1.4.4;8;Soldagem dos olhais para a movimentação das peças ;;100;100
14016;266;1.3.3.1.1.1.4.5;8;LP nos olhais;;100;100
14017;267;1.3.3.1.1.1.4.6;8;Desmontagem do eixo da válvula;;100;100
14018;268;1.3.3.1.1.1.4.7;8;Desmontagem do flange inferior;;100;100
14019;269;1.3.3.1.1.1.4.8;8;Desmontagem da infraestrutura;;100;100
14020;270;1.3.3.1.1.1.4.9;8;Desmontagem do acionamento;;100;100
14021;271;1.3.3.1.1.1.4.10;8;Retirada das guilhotinas;;100;100
14022;272;1.3.3.1.1.1.4.11;8;Sucateamento da válvula para o caminho de rolamento;;100;100
14023;273;1.3.3.1.1.1.4.12;8;Remoção das sucatas com auxílio da gaiola para içamento com o apoio do guindaste;;100;100
14024;274;1.3.3.1.1.1.4.13;8;Limpeza mecânica;;100;100
14025;275;1.3.3.1.1.2;6;Montagem das 4 Válvulas Duplo Pêndulo;;100;100
14026;276;1.3.3.1.1.2.1;7;VÁLVULA 1;;100,01;100,01
14027;277;1.3.3.1.1.2.1.1;8;Deslocamento da válvula nova para o caminho de rolamento;;100;100
14028;278;1.3.3.1.1.2.1.2;8;Montagem do flange superior;;100;100
14029;279;1.3.3.1.1.2.1.3;8;Montagem dos parafusos;;100;100
14030;280;1.3.3.1.1.2.1.4;8;Torque dos parafusos conforme o fabricante;;100;100
14031;281;1.3.3.1.1.2.1.5;8;Montagem das guilhotinas;;100;100
14032;282;1.3.3.1.1.2.1.6;8;Montagem dos parafusos;;100;100
14033;283;1.3.3.1.1.2.1.7;8;Torque dos parafusos conforme o fabricante;;100;100
14034;284;1.3.3.1.1.2.1.8;8;Montagem das dupla flaps;;100;100
14035;285;1.3.3.1.1.2.1.9;8;Montagem dos parafusos;;100;100
14036;286;1.3.3.1.1.2.1.10;8;Torque dos parafusos conforme o fabricante;;100;100
14037;287;1.3.3.1.1.2.1.11;8;Montagem do flange inferior;;100;100
14038;288;1.3.3.1.1.2.1.12;8;Montagem dos parafusos;;100;100
14039;289;1.3.3.1.1.2.1.13;8;Torque dos parafusos conforme o fabricante;;100;100
14040;290;1.3.3.1.1.2.1.14;8;Ajuste dos flanges;;100;100
14041;291;1.3.3.1.1.2.1.15;8;Montagem da infraestrutura das válvulas;;100;100
14042;292;1.3.3.1.1.2.1.16;8;Desmontagem do caminho de rolamento;;100;100
14043;293;1.3.3.1.1.2.1.17;8;Desmontagem de andaimes;;100;100
14044;294;1.3.3.1.1.2.1.18;8;Montagem do painel pneumático;;100;100
14045;295;1.3.3.1.1.2.1.19;8;Montagem do painel elétrico;;100;100
14046;296;1.3.3.1.1.2.1.20;8;Montagem da infraestrutura dos painéis;;100;100
14047;297;1.3.3.1.1.2.1.21;8;Interlição dos tubes da válvula;;100;100
14048;298;1.3.3.1.1.2.1.22;8;Montagem dos guarda corpos ;;100;100
14049;299;1.3.3.1.1.2.1.23;8;Montagem do wind fance ;;100;100
14050;300;1.3.3.1.1.2.2;7;VÁLVULA 2;;99,99;99,99
14051;301;1.3.3.1.1.2.2.1;8;Deslocamento da válvula nova para o caminho de rolamento;;100;100
14052;302;1.3.3.1.1.2.2.2;8;Montagem do flange superior;;100;100
14053;303;1.3.3.1.1.2.2.3;8;Montagem dos parafusos;;100;100
14054;304;1.3.3.1.1.2.2.4;8;Torque dos parafusos conforme o fabricante;;100;100
14055;305;1.3.3.1.1.2.2.5;8;Montagem das guilhotinas;;100;100
14056;306;1.3.3.1.1.2.2.6;8;Montagem dos parafusos;;100;100
14057;307;1.3.3.1.1.2.2.7;8;Torque dos parafusos conforme o fabricante;;100;100
14058;308;1.3.3.1.1.2.2.8;8;Montagem das dupla flaps;;100;100
14059;309;1.3.3.1.1.2.2.9;8;Montagem dos parafusos;;100;100
14060;310;1.3.3.1.1.2.2.10;8;Torque dos parafusos conforme o fabricante;;100;100
14061;311;1.3.3.1.1.2.2.11;8;Montagem do flange inferior;;100;100
14062;312;1.3.3.1.1.2.2.12;8;Montagem dos parafusos;;100;100
14063;313;1.3.3.1.1.2.2.13;8;Torque dos parafusos conforme o fabricante;;100;100
14064;314;1.3.3.1.1.2.2.14;8;Ajuste dos flanges;;100;100
14065;315;1.3.3.1.1.2.2.15;8;Montagem da infraestrutura das válvulas;;100;100
14066;316;1.3.3.1.1.2.2.16;8;Desmontagem do caminho de rolamento;;100;100
14067;317;1.3.3.1.1.2.2.17;8;Desmontagem de andaimes;;100;100
14068;318;1.3.3.1.1.2.2.18;8;Montagem do painel pneumático;;100;100
